entry_id,surname,destinations,amplitude,n_reversals,horizontal_cross,transversal_cross,n_struct_total,pV,pH,pT,index,confiance,n_cam,n_occ
337,HOGG,Art,0.0,0,1,0,2,0.05,0.727,0.1,29.2,moyenne,3,3
210,DOTTIE,Media,8.1,0,0,1,2,0.2,0.291,0.327,27.3,faible,2,2
700,THOMPSON,Media,25.6,0,0,0,4,0.418,0.291,0.1,27.0,moyenne,3,3
741,WELCH,Media,2.8,0,0,1,2,0.132,0.291,0.327,25.0,faible,2,2
123,CAMPBELL,Media,0.3,0,0,1,2,0.1,0.291,0.327,23.9,faible,2,2
85,BRIERLEY,Art+Media,0.0,0,0,1,3,0.05,0.291,0.327,22.3,faible,2,3
94,BROWN,Media,0.0,0,0,1,2,0.05,0.291,0.327,22.3,faible,2,3
109,,Art+Media,11.7,0,0,0,1,0.223,0.291,0.1,20.5,faible,2,3
573,REDFERN,Art+Media,11.7,0,0,0,3,0.223,0.291,0.1,20.5,bonne,4,5
62,BETHUNE,Art,6.6,0,0,0,3,0.186,0.291,0.1,19.2,faible,2,2
763,WILSON,Media,6.6,0,0,0,2,0.186,0.291,0.1,19.2,faible,2,3
233,EVETT,Media,5.9,0,0,0,2,0.164,0.291,0.1,18.5,faible,2,2
615,SEXTON,Media,4.4,0,0,0,2,0.145,0.291,0.1,17.9,faible,2,2
86,BRITTON,Art,0.0,0,0,0,2,0.05,0.291,0.1,14.7,faible,2,2
136,CATTON,Media,0.0,0,0,0,2,0.05,0.291,0.1,14.7,faible,2,2
195,CUMMINS,Media,0.0,0,0,0,2,0.05,0.291,0.1,14.7,faible,2,2
370,IRELAND,Media,0.0,0,0,0,3,0.05,0.291,0.1,14.7,faible,2,2
472,M’KAEN,Media,0.0,0,0,0,1,0.05,0.291,0.1,14.7,faible,2,2
649,SPENCER,Media,0.0,0,0,0,2,0.05,0.291,0.1,14.7,faible,2,2
