aid,year,structure,category,sequence
425,1895,A,excluded,C
425,1899,C,excluded,D
425,1907,A,,B
425,1911,A,aspirant,B
428,1831,C,,C
428,1835,C,,C
428,1843,D,established,A
430,1849,C,excluded,C
430,1857,C,excluded,C
430,1865,A,excluded,C
430,1869,A,excluded,C
430,1873,D,aspirant,D
430,1877,A,excluded,C
430,1881,A,aspirant,D
430,1885,C,excluded,D
430,1889,A,aspirant,A
431,1844,C,excluded,C
431,1848,C,,C
447,1813,C,excluded,C
447,1821,C,excluded,C
447,1829,A,excluded,C
454,1827,C,excluded,C
454,1831,C,,C
454,1855,A,aspirant,D
454,1859,D,established,A
454,1863,A,excluded,D
462,1911,D,established,A
462,1919,D,excluded,D
462,1923,D,conservative,D
462,1927,D,established,A
462,1931,A,excluded,A
462,1935,C,excluded,C
462,1939,C,,C
462,1943,A,established,A
466,1909,C,excluded,C
466,1917,C,excluded,C
466,1921,C,,C
466,1925,D,established,A
466,1929,A,,A
467,1853,C,excluded,C
472,1869,C,excluded,C
472,1873,C,excluded,C
481,1875,C,,C
481,1883,A,excluded,C
481,1891,C,conservative,C
481,1895,C,excluded,C
481,1899,B,established,D
481,1903,B,,D
481,1907,B,established,B
481,1915,D,conservative,D
481,1923,B,established,B
484,1849,C,,C
5,1851,C,excluded,D
5,1855,A,excluded,C
5,1859,A,excluded,C
5,1863,D,established,A
5,1867,D,established,A
5,1871,D,excluded,D
507,1775,A,,C
513,1825,C,excluded,C
513,1833,D,aspirant,D
513,1837,A,established,A
518,1863,C,excluded,D
518,1867,A,excluded,C
518,1871,B,,C
518,1875,C,excluded,C
521,1907,C,,D
521,1915,D,established,A
521,1919,C,established,A
521,1923,B,established,B
521,1927,B,established,D
524,1906,C,excluded,D
524,1910,C,,C
524,1914,A,aspirant,A
524,1926,A,established,A
529,1874,D,established,A
529,1882,A,established,A
529,1886,A,established,A
529,1894,A,established,A
530,1911,C,,C
530,1915,C,excluded,C
530,1919,C,excluded,C
530,1923,A,,A
530,1927,A,established,A
530,1931,D,established,A
530,1935,D,excluded,D
530,1943,B,established,B
530,1947,B,established,D
537,1852,C,excluded,C
537,1856,C,excluded,C
537,1868,A,,C
537,1872,C,,C
537,1876,A,excluded,C
539,1871,C,,C
539,1879,A,established,A
539,1883,C,,C
539,1887,A,established,A
54,1910,A,established,A
54,1914,D,established,A
54,1918,A,excluded,A
543,1790,C,,C
543,1794,C,conservative,C
543,1798,C,,C
543,1802,C,excluded,C
543,1806,C,,C
543,1810,C,established,A
543,1814,C,established,A
548,1828,C,excluded,C
548,1832,A,excluded,C
548,1840,A,,C
548,1844,C,aspirant,A
548,1848,D,established,A
548,1856,D,excluded,D
549,1909,A,excluded,C
549,1913,C,excluded,C
549,1921,B,established,D
549,1925,B,established,B
549,1929,D,conservative,D
549,1933,B,established,B
557,1854,C,excluded,D
56,1901,C,,A
56,1905,C,excluded,D
560,1882,C,excluded,C
561,1869,C,excluded,C
561,1881,A,,D
561,1889,C,,C
561,1893,C,aspirant,A
561,1901,A,established,A
568,1827,A,excluded,C
568,1835,A,aspirant,D
568,1839,D,conservative,D
568,1843,A,excluded,C
568,1847,A,established,B
572,1908,A,established,A
572,1912,A,conservative,D
572,1916,A,established,A
572,1920,A,established,A
572,1924,D,established,A
572,1932,B,established,B
573,1894,C,conservative,C
573,1898,C,,C
573,1902,C,excluded,C
573,1906,C,excluded,C
573,1910,C,conservative,C
581,1796,C,,C
581,1800,C,,C
581,1808,C,excluded,C
581,1820,A,excluded,C
581,1828,C,aspirant,D
582,1817,C,excluded,C
59,1844,A,conservative,D
59,1848,A,excluded,A
59,1852,A,aspirant,D
59,1856,D,established,A
59,1860,D,excluded,D
59,1864,C,conservative,A
59,1868,C,,C
59,1872,D,established,A
591,1853,C,excluded,C
591,1857,C,excluded,C
591,1861,A,established,A
591,1865,A,established,A
591,1877,A,,A
596,1865,C,excluded,D
596,1881,C,aspirant,C
596,1885,A,,C
6,1842,C,excluded,D
6,1846,A,excluded,C
6,1850,C,established,A
600,1869,C,excluded,D
600,1877,D,established,A
600,1881,D,established,A
601,1869,A,,C
601,1881,C,excluded,D
601,1897,B,aspirant,C
615,1875,C,,C
615,1887,C,excluded,C
619,1863,A,established,B
619,1867,C,excluded,C
619,1871,A,aspirant,A
62,1823,C,excluded,C
62,1827,C,excluded,C
620,1903,A,,A
620,1907,C,,C
620,1915,C,excluded,C
620,1919,C,,C
620,1927,A,,A
620,1931,C,aspirant,C
632,1823,A,excluded,C
632,1827,A,excluded,C
632,1831,A,excluded,C
632,1835,A,established,A
638,1845,A,established,A
645,1830,C,excluded,C
645,1850,B,,C
645,1854,C,aspirant,D
645,1858,D,established,A
647,1867,C,excluded,C
647,1879,C,established,A
647,1883,C,excluded,A
647,1887,C,established,A
647,1891,B,,D
649,1891,A,established,A
649,1895,A,established,A
652,1908,C,excluded,C
652,1912,C,excluded,D
652,1916,C,excluded,D
652,1920,D,established,A
660,1860,A,,A
660,1868,C,,C
660,1872,C,excluded,C
660,1880,C,,C
660,1888,D,established,A
660,1896,A,established,A
660,1900,A,conservative,A
660,1904,B,established,B
665,1904,C,excluded,C
665,1908,B,established,D
665,1916,B,established,D
67,1795,C,,C
67,1803,C,conservative,A
67,1807,D,conservative,D
676,1880,C,conservative,D
676,1884,A,excluded,C
676,1888,A,excluded,C
676,1892,D,established,A
676,1896,A,excluded,C
676,1900,B,established,B
683,1877,C,,C
683,1885,B,,C
683,1893,B,,C
683,1901,C,conservative,C
683,1905,A,,A
