aid,annee,structure,categorie,sequence
422,1878,C,decu,D
422,1882,C,,D
422,1886,C,aspirant,D
422,1894,C,etabli,A
422,1898,C,,C
422,1906,D,,D
425,1887,C,,D
425,1891,A,decu,C
425,1895,A,decu,C
425,1899,C,decu,D
425,1907,A,,B
425,1911,A,aspirant,B
428,1831,C,,C
428,1835,C,,C
428,1843,D,etabli,A
430,1849,C,decu,C
430,1857,C,decu,C
430,1865,A,decu,C
430,1869,A,decu,C
430,1873,D,aspirant,D
430,1877,A,decu,C
430,1881,A,aspirant,D
430,1885,C,decu,D
430,1889,A,aspirant,A
431,1844,C,decu,C
431,1848,C,,C
447,1813,C,decu,C
447,1821,C,decu,C
447,1829,A,decu,C
454,1827,C,decu,C
454,1831,C,,C
454,1855,A,aspirant,D
454,1859,D,etabli,A
454,1863,A,decu,D
462,1911,D,etabli,A
462,1919,D,decu,D
462,1923,D,conservateur,D
462,1927,D,etabli,A
462,1931,A,decu,A
462,1935,C,decu,C
462,1939,C,,C
462,1943,A,etabli,A
466,1909,C,decu,C
466,1917,C,decu,C
466,1921,C,,C
466,1925,D,etabli,A
466,1929,A,,A
467,1853,C,decu,C
472,1869,C,decu,C
472,1873,C,decu,C
481,1875,C,,C
481,1883,A,decu,C
481,1891,C,conservateur,C
481,1895,C,decu,C
481,1899,B,etabli,D
481,1903,B,,D
481,1907,B,etabli,B
481,1915,D,conservateur,D
481,1923,B,etabli,B
484,1849,C,,C
5,1851,C,decu,D
5,1855,A,decu,C
5,1859,A,decu,C
5,1863,D,etabli,A
5,1867,D,etabli,A
5,1871,D,decu,D
507,1775,A,,C
513,1825,C,decu,C
513,1833,D,aspirant,D
513,1837,A,etabli,A
518,1863,C,decu,D
518,1867,A,decu,C
518,1871,B,,C
518,1875,C,decu,C
521,1907,C,,D
521,1915,D,etabli,A
521,1919,C,etabli,A
521,1923,B,etabli,B
521,1927,B,etabli,D
524,1906,C,decu,D
524,1910,C,,C
524,1914,A,aspirant,A
524,1926,A,etabli,A
529,1874,D,etabli,A
529,1882,A,etabli,A
529,1886,A,etabli,A
529,1894,A,etabli,A
530,1911,C,,C
530,1915,C,decu,C
530,1919,C,decu,C
530,1923,A,,A
530,1927,A,etabli,A
530,1931,D,etabli,A
530,1935,D,decu,D
530,1943,B,etabli,B
530,1947,B,etabli,D
537,1852,C,decu,C
537,1856,C,decu,C
537,1868,A,,C
537,1872,C,,C
537,1876,A,decu,C
539,1871,C,,C
539,1879,A,etabli,A
539,1883,C,,C
539,1887,A,etabli,A
54,1910,A,etabli,A
54,1914,D,etabli,A
54,1918,A,decu,A
543,1790,C,,C
543,1794,C,conservateur,C
543,1798,C,,C
543,1802,C,decu,C
543,1806,C,,C
543,1810,C,etabli,A
543,1814,C,etabli,A
548,1828,C,decu,C
548,1832,A,decu,C
548,1840,A,,C
548,1844,C,aspirant,A
548,1848,D,etabli,A
548,1856,D,decu,D
549,1909,A,decu,C
549,1913,C,decu,C
549,1921,B,etabli,D
549,1925,B,etabli,B
549,1929,D,conservateur,D
549,1933,B,etabli,B
557,1854,C,decu,D
56,1901,C,,A
56,1905,C,decu,D
560,1882,C,decu,C
561,1869,C,decu,C
561,1881,A,,D
561,1889,C,,C
561,1893,C,aspirant,A
561,1901,A,etabli,A
568,1827,A,decu,C
568,1835,A,aspirant,D
568,1839,D,conservateur,D
568,1843,A,decu,C
568,1847,A,etabli,B
572,1908,A,etabli,A
572,1912,A,conservateur,D
572,1916,A,etabli,A
572,1920,A,etabli,A
572,1924,D,etabli,A
572,1932,B,etabli,B
573,1894,C,conservateur,C
573,1898,C,,C
573,1902,C,decu,C
573,1906,C,decu,C
573,1910,C,conservateur,C
581,1796,C,,C
581,1800,C,,C
581,1808,C,decu,C
581,1820,A,decu,C
581,1828,C,aspirant,D
582,1817,C,decu,C
59,1844,A,conservateur,D
59,1848,A,decu,A
59,1852,A,aspirant,D
59,1856,D,etabli,A
59,1860,D,decu,D
59,1864,C,conservateur,A
59,1868,C,,C
59,1872,D,etabli,A
591,1853,C,decu,C
591,1857,C,decu,C
591,1861,A,etabli,A
591,1865,A,etabli,A
591,1877,A,,A
596,1865,C,decu,D
596,1881,C,aspirant,C
596,1885,A,,C
6,1842,C,decu,D
6,1846,A,decu,C
6,1850,C,etabli,A
600,1869,C,decu,D
600,1877,D,etabli,A
600,1881,D,etabli,A
601,1869,A,,C
601,1881,C,decu,D
601,1897,B,aspirant,C
615,1875,C,,C
615,1887,C,decu,C
619,1863,A,etabli,B
619,1867,C,decu,C
619,1871,A,aspirant,A
62,1823,C,decu,C
62,1827,C,decu,C
620,1903,A,,A
620,1907,C,,C
620,1915,C,decu,C
620,1919,C,,C
620,1927,A,,A
620,1931,C,aspirant,C
632,1823,A,decu,C
632,1827,A,decu,C
632,1831,A,decu,C
632,1835,A,etabli,A
638,1845,A,etabli,A
645,1830,C,decu,C
645,1850,B,,C
645,1854,C,aspirant,D
645,1858,D,etabli,A
647,1867,C,decu,C
647,1879,C,etabli,A
647,1883,C,decu,A
647,1887,C,etabli,A
647,1891,B,,D
649,1891,A,etabli,A
649,1895,A,etabli,A
652,1908,C,decu,C
652,1912,C,decu,D
652,1916,C,decu,D
652,1920,D,etabli,A
660,1860,A,,A
660,1868,C,,C
660,1872,C,decu,C
660,1880,C,,C
660,1888,D,etabli,A
660,1896,A,etabli,A
660,1900,A,conservateur,A
660,1904,B,etabli,B
665,1904,C,decu,C
665,1908,B,etabli,D
665,1916,B,etabli,D
67,1795,C,,C
67,1803,C,conservateur,A
67,1807,D,conservateur,D
676,1880,C,conservateur,D
676,1884,A,decu,C
676,1888,A,decu,C
676,1892,D,etabli,A
676,1896,A,decu,C
676,1900,B,etabli,B
683,1877,C,,C
683,1885,B,,C
683,1893,B,,C
683,1901,C,conservateur,C
683,1905,A,,A
688,1874,C,conservateur,D
688,1878,C,decu,C
688,1882,C,aspirant,A
688,1886,B,etabli,B
70,1870,A,,C
70,1878,B,,C
70,1882,C,conservateur,C
70,1886,D,,A
70,1894,D,etabli,A
700,1907,C,decu,D
700,1911,C,decu,D
700,1915,C,aspirant,D
706,1903,C,decu,D
706,1907,A,decu,C
706,1911,A,aspirant,A
706,1915,A,conservateur,A
706,1919,A,conservateur,A
712,1841,C,decu,C
712,1845,C,etabli,C
712,1853,D,,A
714,1891,C,conservateur,C
714,1895,D,etabli,A
721,1882,C,,C
721,1894,C,decu,C
721,1902,B,etabli,D
721,1906,B,etabli,B
725,1894,A,,C
725,1898,D,decu,C
725,1922,C,decu,C
725,1926,B,,C
725,1930,D,etabli,A
725,1934,D,decu,D
725,1938,A,,A
729,1892,C,conservateur,C
729,1896,D,aspirant,D
729,1900,D,conservateur,D
729,1904,B,etabli,B
73,1836,A,etabli,A
735,1818,A,,B
735,1826,C,etabli,A
735,1830,A,decu,C
735,1834,C,etabli,A
735,1838,A,decu,D
735,1842,A,decu,C
736,1887,C,,D
736,1903,C,conservateur,C
736,1907,C,etabli,A
741,1907,B,etabli,B
741,1911,D,conservateur,D
742,1910,A,,A
742,1914,B,etabli,B
744,1870,C,,C
744,1874,C,decu,C
744,1882,A,,D
750,1872,C,,C
750,1880,C,decu,D
756,1861,C,conservateur,C
756,1869,C,,C
762,1907,C,etabli,C
763,1843,C,,C
763,1847,C,decu,C
763,1855,C,decu,C
768,1877,D,decu,C
768,1881,C,aspirant,D
768,1885,A,decu,C
768,1889,A,decu,C
768,1893,C,decu,C
768,1897,C,,C
768,1913,B,etabli,B
768,1917,B,etabli,B
771,1829,A,etabli,A
776,1855,A,,A
776,1859,C,,C
776,1867,A,etabli,A
776,1875,C,decu,C
776,1879,B,,C
776,1891,D,decu,D
776,1895,C,conservateur,D
8,1905,C,decu,D
8,1909,C,,C
82,1908,C,conservateur,C
83,1884,C,decu,C
83,1888,C,,C
84,1881,C,,C
85,1848,C,,C
85,1852,D,conservateur,D
85,1860,D,conservateur,D
86,1802,C,conservateur,C
86,1810,C,conservateur,C
91,1893,C,,D
91,1897,A,etabli,A
91,1901,C,decu,C
91,1905,A,etabli,B
94,1870,D,,D
94,1874,A,etabli,A
94,1878,A,etabli,A
